timestamp,srcip,dstip,sport,dsport,proto,length
1747810192.688708,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,8213589b6a396c01883967ef6e9259f874e6e04294b7745e948bdccd81bd5834,50898,53,UDP,80
1747810192.697228,8213589b6a396c01883967ef6e9259f874e6e04294b7745e948bdccd81bd5834,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,53,50898,UDP,126
1747810192.69728,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,8213589b6a396c01883967ef6e9259f874e6e04294b7745e948bdccd81bd5834,53113,53,UDP,80
1747810192.704226,8213589b6a396c01883967ef6e9259f874e6e04294b7745e948bdccd81bd5834,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,53,53113,UDP,138
1747810193.019882,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,8213589b6a396c01883967ef6e9259f874e6e04294b7745e948bdccd81bd5834,45235,53,UDP,78
1747810193.028172,8213589b6a396c01883967ef6e9259f874e6e04294b7745e948bdccd81bd5834,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,53,45235,UDP,94
1747810193.028257,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,8213589b6a396c01883967ef6e9259f874e6e04294b7745e948bdccd81bd5834,37268,53,UDP,78
1747810193.034553,8213589b6a396c01883967ef6e9259f874e6e04294b7745e948bdccd81bd5834,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,53,37268,UDP,135
1747810193.034861,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,d90d72ecf07e06c273a9f2383f8c64eb5d0a8bd4dc92bbb867ad25a086ca158a,47730,443,TCP,74
1747810193.247633,d90d72ecf07e06c273a9f2383f8c64eb5d0a8bd4dc92bbb867ad25a086ca158a,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,47730,TCP,74
1747810193.247673,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,d90d72ecf07e06c273a9f2383f8c64eb5d0a8bd4dc92bbb867ad25a086ca158a,47730,443,TCP,66
1747810193.248087,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,d90d72ecf07e06c273a9f2383f8c64eb5d0a8bd4dc92bbb867ad25a086ca158a,47730,443,TCP,1514
1747810193.248092,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,d90d72ecf07e06c273a9f2383f8c64eb5d0a8bd4dc92bbb867ad25a086ca158a,47730,443,TCP,346
1747810193.532186,d90d72ecf07e06c273a9f2383f8c64eb5d0a8bd4dc92bbb867ad25a086ca158a,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,47730,TCP,66
1747810193.532187,d90d72ecf07e06c273a9f2383f8c64eb5d0a8bd4dc92bbb867ad25a086ca158a,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,47730,TCP,2882
1747810193.532187,d90d72ecf07e06c273a9f2383f8c64eb5d0a8bd4dc92bbb867ad25a086ca158a,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,47730,TCP,146
1747810193.532187,d90d72ecf07e06c273a9f2383f8c64eb5d0a8bd4dc92bbb867ad25a086ca158a,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,443,47730,TCP,1899
1747810193.532221,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,d90d72ecf07e06c273a9f2383f8c64eb5d0a8bd4dc92bbb867ad25a086ca158a,47730,443,TCP,66
1747810193.532228,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,d90d72ecf07e06c273a9f2383f8c64eb5d0a8bd4dc92bbb867ad25a086ca158a,47730,443,TCP,66
1747810193.532233,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,d90d72ecf07e06c273a9f2383f8c64eb5d0a8bd4dc92bbb867ad25a086ca158a,47730,443,TCP,66
1747810193.534517,f18cc54ef8a3ba4c2a230deb4df7782b15022cb5cccbaa93f8b524910986476e,d90d72ecf07e06c273a9f2383f8c64eb5d0a8bd4dc92bbb867ad25a086ca158a,47730,443,TCP,130
